Assembly Accession,Assembly BioSample Description Organism Name,ANI Best ANI match ANI,ANI Best ANI match Assembly,ANI Best ANI match Assembly Coverage,ANI Best ANI match Type Category,ANI Best ANI match Organism,ANI Best ANI match Type Assembly Coverage,ANI Best match status,ANI Category,ANI Check status,ANI Comment,ANI Declared ANI match ANI,ANI Declared ANI match Assembly,ANI Declared ANI match Assembly Coverage,ANI Declared ANI match Type Category,ANI Declared ANI match Organism,ANI Declared ANI match Type Assembly Coverage,ANI Submitted organism,ANI Submitted species,Annotation Count Gene Non-coding,Annotation Count Gene Other,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Annotation Count Gene Total,Annotation Method,Annotation Provider,Annotation Release Date,Annotation Software Version,Assembly Assembly Method,Assembly Atypical Is Atypical,Assembly Atypical Warnings,Assembly BioProject Accession,Assembly BioProject Lineage Accession,Assembly BioProject Lineage Parent Accessions,Assembly BioProject Lineage Title,Assembly BioSample Accession,Assembly BioSample Attribute Name,Assembly BioSample Attribute Value,Assembly BioSample Biomaterial provider,Assembly BioSample BioProject Accession,Assembly BioSample Collected by,Assembly BioSample Collection date,Assembly BioSample Description Comment,Assembly BioSample Description Organism Name,Assembly BioSample Description Organism Taxonomic ID,Assembly BioSample Description Title,Assembly BioSample Development stage,Assembly BioSample Geographic location,Assembly BioSample Host,Assembly BioSample Identified by,Assembly BioSample Sample Identifiers Database,Assembly BioSample Sample Identifiers Value,Assembly BioSample IFSAC category,Assembly BioSample Isolate,Assembly BioSample Isolate name alias,Assembly BioSample Isolation source,Assembly BioSample Last updated,Assembly BioSample Latitude and Longitude,Assembly BioSample Models,Assembly BioSample Owner Contact Lab,Assembly BioSample Owner Name,Assembly BioSample Package,Assembly BioSample Project name,Assembly BioSample Publication date,Assembly BioSample Sample name,Assembly BioSample Status Status,Assembly BioSample Status When,Assembly BioSample Strain,Assembly BioSample Submission date,Assembly BioSample Tissue,Assembly Level,Assembly Name,Assembly Notes ,Assembly Paired Assembly Accession,Assembly Paired Assembly Name,Assembly Paired Assembly Status,Assembly Refseq Category,Assembly Release Date,Assembly Sequencing Tech,Assembly Status,Assembly Submitter,Assembly Type,Assembly Stats ATGC Count,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version,Current Accession,Organism Infraspecific Names Isolate,Organism Infraspecific Names Strain,Organism Name,Organism Taxonomic ID,Source Database,WGS project accession,WGS URL
GCA_000153345.1,Neptuniibacter caesariensis,80.84999847,GCA_030295765.1,14.39000034,type,Neptuniibacter halophilus,13.55000019,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Neptuniibacter caesariensis,Neptuniibacter caesariensis,47,,3688,,3735,,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2015-03-24,,,,,PRJNA13561,PRJNA13561,,Marine microbe to be used for comparative genomics,SAMN02436143,strain,MED92,,PRJNA13561,,,,Neptuniibacter caesariensis,207954,Generic sample from Neptuniibacter caesariensis,,,,,,AAOW,,,,,2019-06-20T16:43:51.055,,Generic,,NCBI,Generic.1.0,,2013-12-04T00:00:00.000,,live,2013-12-04T14:26:21.750,MED92,2013-12-04T14:22:51.786,,Scaffold,ASM15334v1,,GCF_000153345.1,GCF_000153345.1-RS_2025_03_20,current,reference genome,2006-05-02,,current,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,haploid,3873219,9,145133,1806284,46.5,,60,60,6,1,2088278,,3924755,3873219,99.66999817,,0.330000013,Oceanospirillaceae,family,207954,v1.2.4,GCA_000153345.1,,MED92,Neptuniibacter caesariensis,207954,SOURCE_DATABASE_GENBANK,AAOW01,https://www.ncbi.nlm.nih.gov/nuccore/AAOW00000000.1
GCA_000153565.1,Bermanella marisrubri,99.98999786,GCA_012295615.1,99.91999817,type,Bermanella marisrubri,99.26000214,species_match,type,OK,na,99.98999786,GCA_012295615.1,99.91999817,type,Bermanella marisrubri,99.26000214,Bermanella marisrubri,Bermanella marisrubri,58,,3314,,3372,,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,2019-03-11,,,,,PRJNA13562,PRJNA13562,,Marine microbe to be used for comparative genomics,SAMN02436132,strain,RED65,,PRJNA13562,,,,Bermanella marisrubri,207949,Generic sample from Bermanella marisrubri,,,,,,AAQH,,,,,2019-06-20T16:43:50.919,,Generic,,NCBI,Generic.1.0,,2013-12-04T00:00:00.000,,live,2013-12-04T14:26:41.700,RED65,2013-12-04T14:22:51.156,,Scaffold,ASM15356v1,,GCF_000153565.1,GCF_000153565.1-RS_2025_04_17,current,,2006-05-02,,current,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,haploid,3527084,8,122078,1550506,44,,47,47,26,5,248300,,3552236,3527084,98.93000031,,0.330000013,Oceanospirillaceae,family,207949,v1.2.3,GCA_000153565.1,,RED65,Bermanella marisrubri,207949,SOURCE_DATABASE_GENBANK,AAQH01,https://www.ncbi.nlm.nih.gov/nuccore/AAQH00000000.1
GCA_000192865.1,Marinomonas mediterranea MMB-1,99.98999786,GCA_028472825.1,100,type,Marinomonas mediterranea,99.40000153,species_match,type,OK,na,99.98999786,GCA_028472825.1,100,type,Marinomonas mediterranea MMB-1,99.40000153,Marinomonas mediterranea MMB-1,Marinomonas mediterranea,103,,4121,106,4330,,US DOE Joint Genome Institute,2019-09-10,,Newbler v. 2.3,,,PRJNA51765,PRJNA51765,,Marinomonas mediterranea MMB-1 genome sequencing project,SAMN00713593,biotic_relationship,free living,,,,Missing,Keywords: GSC:MIGS:2.1,Marinomonas mediterranea MMB-1,717774,"Marinomonas mediterranea MMB-1, complete genome.",,Missing,,,SRA,SRS258430,,,,,2015-02-10T11:21:16.217,Missing,Generic,,NCBI,Generic.1.0,Marinomonas mediterranea MMB-1,2011-08-24T11:41:12.143,,live,2013-09-19T09:17:39,MMB-1,2011-08-24T11:41:12.140,,Complete Genome,ASM19286v1,,GCF_000192865.1,GCF_000192865.1-RS_2025_11_22,current,reference genome,2011-03-22,"454, Illumina",current,US DOE Joint Genome Institute,haploid,4684316,1,4684316,2067071,44,30,1,1,1,1,4684316,1,4684316,4684316,99.87000275,50,0.25,Marinomonas,genus,119864,v1.2.4,GCA_000192865.1,,MMB-1,Marinomonas mediterranea MMB-1,717774,SOURCE_DATABASE_GENBANK,,
GCA_000214215.1,Marinomonas posidonica IVIA-Po-181,87.12999725,GCA_003314975.1,73.54000092,type,Marinomonas aquiplantarum,76.16000366,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas posidonica IVIA-Po-181,Marinomonas posidonica,108,,3491,53,3652,,US DOE Joint Genome Institute,2019-09-11,,Newbler v. 2.3,,,PRJNA52545,PRJNA52545,,Marinomonas posidonica IVIA-Po-181 genome sequencing project,SAMN00713622,biotic_relationship,free living,,,,Missing,Keywords: GSC:MIGS:2.1,Marinomonas posidonica IVIA-Po-181,491952,"Marinomonas posidonica IVIA-Po-181, complete genome.",,Spain,(seagrass) Posidonia oceanica,,SRA,SRS258459,,,,seagrass from different meadows in the coast of 76 Balearic Islands,2015-02-10T11:21:18.877,Missing,Generic,,NCBI,Generic.1.0,Marinomonas posidonica IVIA-Po-181,2011-08-24T11:41:14.927,,live,2013-09-19T09:22:09,IVIA-Po-181,2011-08-24T11:41:14.920,,Complete Genome,ASM21421v1,,GCF_000214215.1,GCF_000214215.1-RS_2025_05_01,current,reference genome,2011-05-20,454/Illumina,current,US DOE Joint Genome Institute,haploid,3899940,1,3899940,1727094,44.5,30,1,1,1,1,3899940,1,3899940,3899940,99.76999664,66.66670227,0.460000008,Marinomonas,genus,936476,v1.2.3,GCA_000214215.1,,IVIA-Po-181,Marinomonas posidonica IVIA-Po-181,491952,SOURCE_DATABASE_GENBANK,,
GCA_000220545.2,Marinobacterium stanieri S30,96.43000031,GCA_900155945.1,89.76999664,type,Marinobacterium stanieri,83.83999634,species_match,category_na,OK,na,96.43000031,GCA_900155945.1,89.76999664,type,Marinobacterium stanieri,83.83999634,Marinobacterium stanieri S30,Marinobacterium stanieri,,,,,,,,,,GS De Novo v. 2.3,,,PRJNA67839,PRJNA67839,,Marinobacterium stanieri S30 genome sequencing project,SAMN02470153,strain,S30,,PRJNA67839,,,,Marinobacterium stanieri S30,1042375,Sample from Marinobacterium stanieri S30,,,,,,AFPL,,,,,2015-05-18T13:09:11.680,,Generic,,NCBI,Generic.1.0,,2013-12-19T13:16:01.303,,live,2013-12-19T13:16:01.303,S30,2013-12-19T13:10:00.567,,Contig,ASM22054v2,,GCF_000220545.1,GCF_000220545.1-RS_2025_03_20,current,,2011-07-12,454 GS FLX,current,Korea Ocean Research & Development Institute,haploid,4370691,11,134510,2442851,56,20,58,58,58,11,134510,,4370691,4370691,90.75,25,4.21999979,Marinobacterium,genus,49186,v1.2.4,GCA_000220545.2,,S30,Marinobacterium stanieri S30,1042375,SOURCE_DATABASE_GENBANK,AFPL01,https://www.ncbi.nlm.nih.gov/nuccore/AFPL00000000.1
GCA_000355675.1,Thalassolituus oleivorans MIL-1,89.12999725,GCA_041222825.1,3.079999924,suspected_type,Candidatus Thalassolituus haligoni,2.75999999,low_coverage,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Thalassolituus oleivorans MIL-1,Thalassolituus oleivorans,66,,3662,4,3732,,MPI BREMEN,2015-03-01,,,,,PRJEB1425,PRJEB1425,,Genome sequence of Thalassolituus oleivorans MIL-1 DSM 14913(T),SAMEA2272589,geo_loc_name,"Italy:Sicily, Milazzo harbour",,,,,,Thalassolituus oleivorans MIL-1,1298593,BioSample entry for genome collection GCA_000355675,,"Italy:Sicily, Milazzo harbour",,,SRA,ERS380004,,,,sea water sediment collected from a depth of about 5 meters,2021-08-20T06:56:21.000,,Generic,,EBI,Generic.1.0,,2013-12-19T00:00:00.000,GCA_000355675,live,2015-03-02T06:56:57.763,MIL-1,2013-12-20T12:43:42.083,,Complete Genome,ASM35567v1,,GCF_000355675.1,GCF_000355675.1-RS_2025_03_28,current,reference genome,2013-03-14,,current,MPI BREMEN,haploid,3920328,1,3920328,1827876,46.5,,1,1,1,1,3920328,1,3920328,3920328,98.45999908,91.66670227,1.929999948,Oceanospirillaceae,family,187493,v1.2.3,GCA_000355675.1,,MIL-1,Thalassolituus oleivorans MIL-1,1298593,SOURCE_DATABASE_GENBANK,,
GCA_000378045.1,Marinobacterium rhizophilum DSM 18822,86.20999908,GCA_024267675.1,50.25999832,type,Marinobacterium sedimentorum,50.40000153,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinobacterium rhizophilum DSM 18822,Marinobacterium rhizophilum,,,,,,,,,,Velvet v. 1.1.04; ALLPATHS v. R37654,,,PRJNA181367,PRJNA181367,,Marinobacterium rhizophilum DSM 18822,SAMN02440466,strain,DSM 18822,,PRJNA181367,,2005-11,,Marinobacterium rhizophilum DSM 18822,1122202,Generic sample from Marinobacterium rhizophilum DSM 18822,,South Korea,Suaeda japonica,,,ARJM,,,,,2021-02-28T02:13:39.685,37.485 N 126.516 E,Generic,,NCBI,Generic.1.0,Marinobacterium rhizophilum DSM 18822,2013-12-11T00:00:00.000,,live,2013-12-11T13:09:59.853,DSM 18822,2013-12-11T13:07:19.630,,Scaffold,ASM37804v1,,GCF_000378045.1,GCF_000378045.1-RS_2025_03_29,current,reference genome,2013-04-23,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,5360582,12,143318,3136815,58.5,,68,68,58,9,172641,,5364574,5360582,99.27999878,50,0.289999992,Marinobacterium,genus,420402,v1.2.3,GCA_000378045.1,,DSM 18822,Marinobacterium rhizophilum DSM 18822,1122202,SOURCE_DATABASE_GENBANK,ARJM01,https://www.ncbi.nlm.nih.gov/nuccore/ARJM00000000.1
GCA_000381785.1,Amphritea japonica ATCC BAA-1530,99.98999786,GCA_016592435.1,99.98000336,type,Amphritea japonica,99.01999664,species_match,type,OK,na,99.98999786,GCA_016592435.1,99.98000336,type,Amphritea japonica ATCC BAA-1530,99.01999664,Amphritea japonica ATCC BAA-1530,Amphritea japonica,,,,,,,,,,Velvet v. 1.1.04; ALLPATHS v. r42328,,,PRJNA185228,PRJNA185228,,Amphritea japonica ATCC BAA-1530 Genome sequencing and assembly,SAMN02440491,strain,JAMM 1866,,PRJNA185228,,Missing,,Amphritea japonica ATCC BAA-1530,1278309,Generic sample from Amphritea japonica ATCC BAA-1530,,Missing,,,,ARMN,,,,,2019-06-20T16:44:29.178,Missing,Generic,,NCBI,Generic.1.0,Amphritea japonica ATCC BAA-1530,2013-12-11T00:00:00.000,,live,2013-12-11T13:10:43.203,JAMM 1866,2013-12-11T13:07:22.150,,Scaffold,ASM38178v1,,GCF_000381785.1,GCF_000381785.1-RS_2025_04_26,current,,2013-04-24,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,3796376,3,457905,1802664,47.5,,27,28,22,3,572840,,3799525,3796376,100,33.33330154,0.330000013,Oceanospirillaceae,family,452627,v1.2.3,GCA_000381785.1,,JAMM 1866,Amphritea japonica ATCC BAA-1530,1278309,SOURCE_DATABASE_GENBANK,ARMN01,https://www.ncbi.nlm.nih.gov/nuccore/ARMN00000000.1
GCA_000422425.1,Oceanospirillum beijerinckii DSM 7166,87.06999969,GCA_014164585.1,15.63000011,type,Oceanospirillum sediminis,14.77999973,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Oceanospirillum beijerinckii DSM 7166,Oceanospirillum beijerinckii,,,,,,,,,,Unknown program v. before 2013-04-04,,,PRJNA188872,PRJNA188872,,Oceanospirillum beijerinckii DSM 7166,SAMN02441143,strain,DSM 7166,,PRJNA188872,,,,Oceanospirillum beijerinckii DSM 7166,1122616,Generic sample from Oceanospirillum beijerinckii DSM 7166,,,,,,AULT,,,,,2019-06-20T16:44:39.741,,Generic,,NCBI,Generic.1.0,Oceanospirillum beijerinckii DSM 7166,2013-12-11T00:00:00.000,,live,2013-12-11T13:16:44.340,DSM 7166,2013-12-11T13:14:18.360,,Scaffold,ASM42242v1,,GCF_000422425.1,GCF_000422425.1-RS_2025_05_02,current,reference genome,2013-07-11,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,5314314,18,88398,2543952,48,,109,110,99,16,104794,,5325321,5314314,98.27999878,,1.25,Oceanospirillum,genus,64976,v1.2.3,GCA_000422425.1,,DSM 7166,Oceanospirillum beijerinckii DSM 7166,1122616,SOURCE_DATABASE_GENBANK,AULT01,https://www.ncbi.nlm.nih.gov/nuccore/AULT00000000.1
GCA_000422765.1,Neptunomonas japonica DSM 18939,81,GCA_016082375.1,24.23999977,type,Neptunomonas qingdaonensis,23.87000084,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Neptunomonas japonica DSM 18939,Neptunomonas japonica,,,,,,,,,,Unknown program v. before 2013-04-04,,,PRJNA185603,PRJNA185603,,Neptunomonas japonica DSM 18939,SAMN02440650,strain,DSM 18939,,PRJNA185603,,,,Neptunomonas japonica DSM 18939,1122599,Generic sample from Neptunomonas japonica DSM 18939,,Japan,,,,AUGR,,,,,2019-06-20T16:44:31.998,31.59 N 130.55 E,Generic,,NCBI,Generic.1.0,Neptunomonas japonica DSM 18939,2013-12-11T00:00:00.000,,live,2013-12-11T13:10:26.797,DSM 18939,2013-12-11T13:07:35.433,,Scaffold,ASM42276v1,,GCF_000422765.1,GCF_000422765.1-RS_2025_05_02,current,reference genome,2013-07-11,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,4390732,9,171943,1920616,43.5,,42,44,39,8,195418,,4391552,4390732,100,50,0.330000013,Oceanospirillaceae,family,417574,v1.2.3,GCA_000422765.1,,DSM 18939,Neptunomonas japonica DSM 18939,1122599,SOURCE_DATABASE_GENBANK,AUGR01,https://www.ncbi.nlm.nih.gov/nuccore/AUGR00000000.1
