accession,name,gene,category,nif_gene,length_codons,GC,GC3s,ENC,FOP,CAI,CAI_percentile_background,CAI_percentile_ribosomal,mean_background_CAI,mean_ribo_CAI,n_ribo
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15225 FeMo cofactor biosynthesis protein NifB,nif,nifB,509,0.542894565,0.572597137,48.91524154,0.591002045,0.72280657,91.70478805,16.32653061,0.628776437,0.776490542,49
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15135 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.512559403,0.564377682,42.84390675,0.639484979,0.811730945,99.20707533,75.51020408,0.628776437,0.776490542,49
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15970 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,469,0.554371002,0.575892857,46.72875655,0.578125,0.679658269,79.68892955,2.040816327,0.628776437,0.776490542,49
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15140 Nitrogenase iron protein 1,nif,nifH,293,0.510807736,0.517857143,44.64972008,0.585714286,0.800885179,98.84111009,69.3877551,0.628776437,0.776490542,47
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15130 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.509578544,0.593429158,41.67913803,0.640657084,0.831520164,99.66453187,91.83673469,0.628776437,0.776490542,49
ARC_Gamma03,ARC_Gamma03,ARC_Gamma03_CBBBBG_15965 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,477,0.553459119,0.561555076,47.3789812,0.555075594,0.644637789,63.09850564,0,0.628776437,0.776490542,49
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_15295 FeMo cofactor biosynthesis protein NifB,nif,nifB,503,0.533465871,0.5625,43.43294277,0.670833333,0.645473853,86.44637356,6.25,0.556566622,0.740398579,48
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_15235 Nitrogenase molybdenum-iron protein alpha chain,nif,nifD,491,0.477257298,0.4527897,41.65973641,0.645922747,0.76592857,98.23578829,66.66666667,0.556566622,0.740398579,48
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_00145 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,nif,nifE,470,0.537588652,0.524553571,45.18323777,0.622767857,0.581964005,67.76813218,0,0.556566622,0.740398579,48
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_15240 Nitrogenase iron protein 1,nif,nifH,289,0.493656286,0.45620438,39.90486906,0.682481752,0.809362903,99.41192943,85.41666667,0.556566622,0.740398579,34
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_15230 Nitrogenase molybdenum-iron protein beta chain,nif,nifK,522,0.491060026,0.534836066,40.75116834,0.69057377,0.774802061,98.62783534,72.91666667,0.556566622,0.740398579,48
HBD_gamma01,HBD_Gamma01,HBD_gamma01_KACOLD_00150 Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,nif,nifN,468,0.526353276,0.528761062,46.77606618,0.528761062,0.530883273,39.12069448,0,0.556566622,0.740398579,48
