protein,qseqid,query accession,sseqid,sscinames,bitscore,evalue,length,qlen,qcovs,slen,pident,staxids,stitle
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_369855490.1|,Candidatus Thalassolituus haligoni,1102,0,523,523,100,523,100,3100113,nitrogenase molybdenum-iron protein subunit beta [Candidatus Thalassolituus haligoni]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_416206077.1|,Oceanobacter antarcticus,1102,0,523,523,100,523,99.618,3133425,nitrogenase molybdenum-iron protein subunit beta [Oceanobacter antarcticus]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_303432264.1|,unclassified Oceanobacter,1067,0,523,523,100,523,94.837,2620260;3062618;3062619;3062622;3062623;3062645,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [unclassified Oceanobacter]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MBL4832599.1|,Pseudomonas sp.,1043,0,523,523,100,523,93.308,306,nitrogenase molybdenum-iron protein subunit beta [Pseudomonas sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MAR01348.1|,Oceanospirillaceae bacterium,1043,0,523,523,100,523,92.543,1899355;1914300,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_276784390.1|,Thalassolituus oleivorans,1041,0,523,523,100,523,92.925,187493,nitrogenase molybdenum-iron protein subunit beta [Thalassolituus oleivorans]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_221797276.1|,Oceanobacter mangrovi,1024,0,523,523,100,523,90.631,2862510,nitrogenase molybdenum-iron protein subunit beta [Oceanobacter mangrovi]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_296983949.1|,unclassified Thalassolituus,1023,0,523,523,100,523,90.822,1899355;1947653;1947665;2030822;2624967,MULTISPECIES: nitrogenase molybdenum-iron protein subunit beta [unclassified Thalassolituus]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MDK2776199.1|,Pseudomonadota bacterium,1022,0,523,523,100,523,91.205,1977087,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadota bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MAD47640.1|,Oceanospirillaceae bacterium,1021,0,523,523,100,523,90.057,1899355,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MAY00445.1|,Oceanospirillaceae bacterium,1018,0,523,523,100,523,90.44,1899355,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MBL34108.1|,Oceanospirillaceae bacterium,1014,0,523,523,100,523,90.249,1899355,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MBM97019.1|,Oceanospirillaceae bacterium,1000,0,526,523,100,526,88.593,1899355,nitrogenase molybdenum-iron protein subunit beta [Oceanospirillaceae bacterium]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,ref|WP_320818637.1|,Thalassolituus sp.,990,0,523,523,100,523,87.763,2030822,nitrogenase molybdenum-iron protein subunit beta [Thalassolituus sp.]
NifK,ARC_Gamma03___contig_1_2981,ARC_Gamma03,gb|MCG8534812.1|,Pseudomonadales bacterium,981,0,523,523,100,523,86.998,1891229,nitrogenase molybdenum-iron protein subunit beta [Pseudomonadales bacterium]
