Assembly Accession,Genus,Simplified Genus Name,Classification,Type ,nifHDKENB,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,Total_Contigs,Max_Contig_Length,Environment,BioSample Accession,BioProject Accession,BioSample Geographic Location,BioSample Latitude-Longitude,BioSample Isolation Source
ARC_Gamma03*,ARC_Gamma03,ARC_Gamma03,Putative diazotroph,MAG,Yes,98.45,1.3,0.868,4069474,318.877792,4284528,0.54,3895,87,4069474,Polar surface seawater,Not provided,Not provided,Arctic Ocean,Not provided,Polar seawater
GCA_002294235.1*,Thalassolituus sp. UBA885,Thalassolituus sp. UBA885,Putative diazotroph,MAG,Yes,96.14,0.1,0.888,108699,331.079576,4208961,0.53,3770,61,244556,Unspecified seawater,SAMN06457642,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCA_002298335.1*,Thalassolituus sp. UBA674,Thalassolituus sp. UBA674,Putative diazotroph,MAG,Yes,95.31,0.14,0.892,125289,318.514864,3488490,0.55,3263,39,330507,Unspecified seawater,SAMN06455247,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCA_002314145.1*,Thalassolituus sp. UBA1087,Thalassolituus sp. UBA1087,Putative diazotroph,MAG,Yes,96.83,0.55,0.892,145669,332.769829,4168903,0.53,3732,46,277881,Unspecified seawater,SAMN06452228,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCA_002331085.1*,Thalassolituus sp. UBA2109,Thalassolituus sp. UBA2109,Putative diazotroph,MAG,Yes,94.74,1.09,0.895,157929,322.24804,3439103,0.55,3189,32,345673,Unspecified seawater,SAMN06450587,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCA_002450785.1*,Thalassolituus sp. UBA6928,Thalassolituus sp. UBA6928,Putative diazotroph,MAG,Yes,97.13,0.14,0.889,96454,331.764146,4227541,0.53,3782,65,199133,Unspecified seawater,SAMN06455596,PRJNA348753,Not provided,Not provided,"Saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"
GCA_040118715.1,Thalassolituus sp. SIP 700 bin 21,Thalassolituus sp. SIP 700 bin 21,Non-diazotroph,MAG,No ,97,0,0.894,578285,326.712923,3786831,0.47,3459,12,1156076,Hydrocarbon enrichment,SAMN26664013,PRJNA816150,United Kingdom: Faroe Shetland Channel,60.633333 N 4.900000 W,Isotopically labeled n-hexadecane aerobic FSC enrichments from water column Seawater sample
GCA_040118895.1,Thalassolituus sp. SIP700Bin15,Thalassolituus sp. SIP700Bin15,Non-diazotroph,MAG,No ,97.04,0,0.894,578285,326.328233,3787977,0.47,3464,12,1119406,Hydrocarbon enrichment,SAMN26664019,PRJNA816150,United Kingdom: Faroe Shetland Channel,60.633333 N 4.900000 W,Isotopically labeled n-hexadecane aerobic FSC enrichments from water column Seawater sample
GCA_040119005.1,Thalassolituus sp. SIP5Bin5,Thalassolituus sp. SIP5Bin5,Non-diazotroph,MAG,No ,86.98,4.14,0.909,133521,329.466494,3352085,0.47,3089,58,343113,Hydrocarbon enrichment,SAMN26664028,PRJNA816150,United Kingdom: Faroe Shetland Channel,60.633333 N 4.900000 W,Isotopically labeled n-hexadecane aerobic FSC enrichments from water column Seawater sample
GCA_041247055.1,Thalassolituus sp. 3umA1Z08042.57,Thalassolituus sp. 3umA1Z08042.57,Non-diazotroph,MAG,No ,85.36,0.43,0.915,48017,324.492815,3768304,0.57,3549,147,157493,Unspecified seawater,SAMN41429352,PRJNA1081583,China: East China Sea,30.1282 N 122.74599 E,Marine metagenome
GCA_905478475.1,uncultured Thalassolituus sp. 20180417 bin 142,uncultured Thalassolituus sp. 1,Non-diazotroph,MAG,No ,96.99,1.24,0.892,25622,312.711352,3579626,0.47,3409,202,100636,Unspecified seawater,SAMEA8498427,PRJEB38290,"North Sea, Helgoland","54.19,7.9",Seawater
GCA_913043175.1,uncultured Thalassolituus sp. ERR599064 bin 100,uncultured Thalassolituus sp. 2,Non-diazotroph,MAG,No ,86.97,0.46,0.906,31890,314.747723,3085492,0.44,2965,148,77606,Unspecified seawater,SAMEA9695387,PRJEB37807,Not provided,"-34.0614,-73.1066",Marine metagenome
GCA_913047515.1*,uncultured Thalassolituus sp. ERR599132 bin 52,uncultured Thalassolituus sp. 3,Putative diazotroph,MAG,Yes,94.01,0.06,0.895,97391,332.651305,4180274,0.53,3754,63,227184,Unspecified seawater,SAMEA9694110,PRJEB37807,Not provided,"-5.261,-85.1678",Marine metagenome
