Gene_ID,taxonomy,sample_ID,normalized_abundance,pct_identity,aln_length,Clade,latitude.x,longitude.x,depth.x,station,depth.y,size fraction,latitude.y,longitude.y,Station,ENA_ID,INSDC_ID,BioSamples_ID,Sample_method,Depth_Nominal,Environmental_feature,Fraction_Lower,Fraction_Upper,Biome,Region,Province,Barcode,Date_Time,Seafloor,Temperature,Salinity,Density,Distance_coast,Chlorophyll_A,Depth,PAR,O2,NO3,Iron_5m*,Ammonium_5m*,Nitrite_5m*,Nitrate_5m*,CDOM*,NPP_C*,POC*,PIC*,Alkalinity,Carbon Total,CO2,CO3,HCO3,pH,NO2,PO4,NO3_NO2,Si,MLD,DCM,Depth_max_Brunt_Väisälä_freq,Depth_max_O2,Depth_min_O2,Depth_nitracline,Shannon_Darwin*,Shannon_Physat*,miTAG_SILVA_Chao,miTAG_SILVA_Shannon,OG_Richness,OG_Evenness,Chlorophyll c3,Peridinin,Fucoxanthin,Prasinoxanthin,19-Hexanoyloxyfucoxanthin,Alloxanthin,Zeaxanthin,Lutein,Latitude,Longitude,Sea_ice*,Season,Season_subperiod,Okubo-Weiss*,Lyapunov*,Residence_time*
OM-RGC.v2.008955342,Biota;,TARA_X000001036,7.23842E-09,100,292,Thalassolituus haligoni BB40 (Clade 1),39.0609,5.9422,DCM,TARA_009,DCM,[0.22-3µm],39.0609,5.9422,TARA_009,ERS488147,ERR594315|ERR594329,SAMEA2619548,SEQ-(dry)_W0.22-1.6,DCM,[DCM] deep chlorophyll maximum layer (ENVO:01000326),0.22,1.6,Westerlies Biome,[MS] Mediterranean Sea (MRGID:1905),"[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)",TARA_X000001036,2009/09/28 16:59:00,-2866,15.9708,37.68195,27.81605,157.8376,0.4575,55,1.233359,,,0.00138773,0.015086659,0.048709321,0.01675451,,240.841,35.80424881,8.10158E-05,0.002,0.0067,,0.0169,0.0071,,,,,,,56,25,,,,0.600831,0.52087,4462.68593,6.907613079,15318.4,0.742404217,0.01,0.0124,0.0067,0.0025,0.0557,0.0014,0.0569,0,39.0609,5.9422,0,autumn,early,0.021447,0.190651,0
OM-RGC.v2.008955342,Biota;,TARA_B110000112,9.66856E-09,100,292,Thalassolituus haligoni BB40 (Clade 1),79.2026,66.4827,ZZZ,TARA_175,ZZZ,[0.22-3µm],79.2026,66.4827,TARA_175,ERS1308806,,SAMEA4397357,SEQ-(10L-or-15min)_W0.22-3,ZZZ,[ZZZ] marine water layer (ENVO:01000295),0.22,3,Polar Biome,[AO] Arctic Ocean (MRGID:1906),[BPLR] Boreal Polar Province (MRGID:21450),TARA_B110000112,2013/07/10 11:00:00,-449,1.47689,34.8814,27.91825,159.878,-0.027,199,0,296.228,11.691602,0.00109338,0.000589373,0.003293654,6.750465393,,,98.90457916,0.000491698,,,,,,,0.019,0.730535,11.508,4.994604,231,16,3,26,154,44,,,,,,,,,,,,,,,79.2026,66.4827,0,summer,early,,0,0
OM-RGC.v2.008955342,Biota;,TARA_B110000878,9.9704E-09,100,292,Thalassolituus haligoni BB40 (Clade 1),72.4456,-71.8814,MES,TARA_205,MES,[0.22-3µm],72.4456,-71.8814,TARA_205,ERS1309612,,SAMEA4398163,SEQ-(10L-or-15min)_W0.22-3,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,3,Polar Biome,[AO] Arctic Ocean (MRGID:1906),[BPLR] Boreal Polar Province (MRGID:21450),TARA_B110000878,2013/10/08 18:24:00,-1046,1.230869,34.378169,27.531506,91.7069,-0.0081,491,,227.316,22.810319,0.000596423,0.018947516,0.152390116,1.684819688,,,,,,,,,,,,,,,243,24,48,13,481,53,,,,,,,,,,,,,,,72.4456,-71.8814,0,autumn,early,0.189964,0.113334,0
OM-RGC.v2.008955342,Biota;,TARA_B110000494,7.93405E-09,100,292,Thalassolituus haligoni BB40 (Clade 1),70.9433,-53.5127,MES,TARA_206,MES,[0.22-3µm],70.9433,-53.5127,TARA_206,ERS1309682,,SAMEA4398233,SEQ-(10L-or-15min)_W0.22-3,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,3,Polar Biome,[AO] Arctic Ocean (MRGID:1906),[BPLR] Boreal Polar Province (MRGID:21450),TARA_B110000494,2013/10/12 18:02:00,-680,3.03554,34.50669,27.488995,7.5708,-0.01008,411,,230.0861,13.409788,0.000494336,0.022793755,0.19323191,0.170150639,,,,,,,,,,,,,,,205,14,35,15,472,505,,,,,,,,,,,,,,,70.9433,-53.5127,0.251729518,autumn,early,,0,0
OM-RGC.v2.008955342,Biota;,TARA_B110000465,4.00211E-08,100,292,Thalassolituus haligoni BB40 (Clade 1),64.7,-52.996,MES,TARA_209,MES,[0.22-3µm],64.7,-52.996,TARA_209,ERS1309803,,SAMEA4398354,SEQ-(10L-or-15min)_W0.22-3,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,3,Polar Biome,[AO] Arctic Ocean (MRGID:1906),[BPLR] Boreal Polar Province (MRGID:21450),TARA_B110000465,2013/10/23 17:36:00,-513,4.20173,34.59923,27.448865,39.2126,-0.0111,351,0,273.02835,10.622333,0.000488831,0.029433576,0.29848822,0.505696426,,,,,0,0.0102,,0.0019,0.009,,,,,,17,,89,14,424,426,,,,,,,0.0021,0.0007,0.0102,0.001,0.002,0.0006,0.0008,0,64.7,-52.996,0,autumn,middle,-0.050291,0,5.666667
OM-RGC.v2.009066319,Biota;,TARA_B100000097,1.02915E-08,100,290,HBD_Gamma_06 (Clade 2),18.7341,66.3896,MES,TARA_039,MES,[0.22-3µm],18.7341,66.3896,TARA_039,ERS488936,ERR599172|ERR599037,SAMEA2620097,SEQ-(100L)_W0.22-1.6,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,1.6,Trades Biome,[IO] Indian Ocean (MRGID:1904),[MONS] Indian Monsoon Gyres Province (MRGID:21471),TARA_B100000097,2010/03/20 08:15:00,-3147,15.553795,35.907681,26.565675,462.0824,0.00144,270,0,3.12405,18.560166,0.00138772,0.0255102,0.004728645,0.003323513,1.99059,487.271,80.98583221,0.000207011,0,0,,0,0.0058,,2.074,2.64,21.22,38.62,14,34,3,16,486,125,0.386281,0.51759,,,,,0,0,0,0,0,0,0.0013,0,18.7341,66.3896,0,spring,early,0.403157,,2.25
OM-RGC.v2.009066319,Biota;,TARA_B100001013,7.57886E-09,100,290,HBD_Gamma_06 (Clade 2),-25.8076,-111.691,MES,TARA_098,MES,[0.22-3µm],-25.8076,-111.691,TARA_098,ERS491767,ERR599071|ERR599085,SAMEA2622048,SEQ-(100L)_W0.22-3,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),"[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)",TARA_B100001013,2011/04/04 13:55:00,-3087,7.96837,34.3655,26.78725,273.3783,-0.00072,488,0.000001,154.6701,24.271551,0.000233155,0.007986359,0.029286791,0.010698052,1.44693,80.7461,18.08223915,,0,0,,0,0,,0,2.023,27.2885,12.05,64,168,72,98,460,411,0.187939,0.317446,4911.566965,6.538486008,17162.4,0.727779536,0,0,0,0,0,0,0,0,-25.8076,-111.6906,0,autumn,early,-0.006839,0.028784,0
OM-RGC.v2.009066319,Biota;,TARA_B100000886,9.98334E-09,100,290,HBD_Gamma_06 (Clade 2),-21.146,-104.787,SRF,TARA_099,SRF,[0.22-3µm],-21.146,-104.787,TARA_099,ERS491804,ERR599024,SAMEA2622074,SEQ-(100L)_W0.22-3,SRF,[SRF] surface water layer (ENVO:00010504),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),"[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)",TARA_B100000886,2011/04/09 13:56:00,-3906,23.88925,36.1376,24.5391,273.4659,0,5,38.580543,203.37975,0,0.000004583,0.015182246,0.054898681,3.216655207,1.67784,126.418,24.1590004,0.000241036,0,0.0003,,0.0006,0,,0.006,0.2975,0.0315,0.558,67,145,75,107,385,386,0.576329,0.230916,3184.902672,6.40197793,13751.3,0.74581386,0,0.0003,0.0003,0,0.002,0,0.0222,0,-21.146,-104.787,0,autumn,early,0.00016,0.050989,8.333333
OM-RGC.v2.009066319,Biota;,TARA_B100000965,9.07652E-09,100,290,HBD_Gamma_06 (Clade 2),-12.9723,-96.0122,DCM,TARA_100,DCM,[0.22-3µm],-12.9723,-96.0122,TARA_100,ERS491874,ERR599113|ERR599081,SAMEA2622119,SEQ-(10L-or-15min)_W0.22-3,DCM,[DCM] deep chlorophyll maximum layer (ENVO:01000326),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),"[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)",TARA_B100000965,2011/04/15 19:38:00,-3678,22.596675,35.64227,24.5284,1404.6916,0.18456,50,,216.67805,4.229206,0.000003277,0.018424854,0.128016119,9.24222072,,403.48275,52.89086151,0.000295935,0.0061,0.0096,,0.0099,0,,0.1635,0.7785,5.6545,1.8815,44,56,53,52,301,149,0.671904,0.492855,4404.434487,6.829191226,18464.5,0.73777195,0.0122,0.0093,0.0096,0,0.0322,0,0.0521,0.0045,-12.9723,-96.0122,0,autumn,early,0.013354,0.045278,6
OM-RGC.v2.009066319,Biota;,TARA_B100000959,2.23907E-08,100,290,HBD_Gamma_06 (Clade 2),-12.9794,-96.0232,DCM,TARA_100,DCM,[0.22-3µm],-12.9794,-96.0232,TARA_100,ERS491913,ERR598981|ERR598953|ERR598946,SAMEA2622149,SEQ-(10L-or-15min)_W0.22-3,DCM,[DCM] deep chlorophyll maximum layer (ENVO:01000326),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),"[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)",TARA_B100000959,2011/04/16 13:03:00,-3412,12.806365,34.82775,26.3033,1406.3089,0.0006,177,,3.4942,20.254424,0.000003277,0.018424854,0.128016119,9.24222072,,378.781,51.6122818,0.000296832,0,0,,0.0001,0,,0.131,2.68675,23.251,20.9015,45,61,56,53,226,148,0.671904,0.492855,4805.282165,6.67828735,17447.9,0.740331364,0,0.0002,0,0,0.0023,0,0.00095,0,-12.9794,-96.0232,0,autumn,early,0.013354,0.045278,6
OM-RGC.v2.009066319,Biota;,TARA_B100000953,1.22448E-06,100,290,HBD_Gamma_06 (Clade 2),-5.261,-85.1678,MES,TARA_102,MES,[0.22-3µm],-5.261,-85.1678,TARA_102,ERS491980,ERR599132|ERR599055|ERR599128,SAMEA2622197,SEQ-(10L-or-15min)_W0.22-3,MES,[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),[PEOD] Pacific Equatorial Divergence Province (MRGID:21489),TARA_B100000953,2011/04/22 12:08:00,-4118,9.137438,34.692094,26.863531,442.8228,0,480,0,5.148,40.112735,0.000004398,0.034300595,0.573159586,7.140994549,,598.95,85.90293503,0.000337211,0,0,,0,0,,0.014,2.853,39.1775,40.579,34,42,45,13,445,43,0.507222,0.75472,4723.346213,6.680479401,17457.4,0.735844273,0,0,0,0,0,0,0.0003,0,-5.261,-85.1678,0,autumn,middle,0.043188,0.012324,0
OM-RGC.v2.009066319,Biota;,TARA_B100000900,7.45402E-09,100,290,HBD_Gamma_06 (Clade 2),-5.2529,-85.1545,SRF,TARA_102,SRF,[0.22-3µm],-5.2529,-85.1545,TARA_102,ERS491938,ERR598943|ERR598978,SAMEA2622173,SEQ-(10L-or-15min)_W0.22-3,SRF,[SRF] surface water layer (ENVO:00010504),0.22,3,Trades Biome,[SPO] South Pacific Ocean (MRGID:1910),[PEOD] Pacific Equatorial Divergence Province (MRGID:21489),TARA_B100000900,2011/04/21 20:07:00,-4111,24.958885,34.764535,23.176695,805.0024,0.16782,5,24.439054,204.421,13.010708,0.000004398,0.034300595,0.573159586,7.140994549,1.13119,598.95,85.90293503,0.000337211,0.0104,0.00655,16.56381,0.00475,0,7.905094,0.3285,1.02575,12.8225,5.04425,24,26,34,14,419,32,0.507222,0.75472,3197.769229,6.615299747,13566,0.749754292,0.01195,0.0038,0.00655,0,0.0318,0,0.0801,0.02775,-5.2529,-85.1545,0,autumn,early,0.043188,0.012324,0
